TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
118265,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,DESMARELLA,,,,,,,Kent
147601,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,,,,,Kent
147602,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,PROTEROSPONGIA,,,,,,,
151163,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,SPHAEROECA,,,,,,,Lauterborn
151257,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,SPHAEROECA,,,VOLVOX,,,,Lauterborn
147945,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,PROTEROSPONGIA,,,DYBSOEËNSIS,,,,Grøntved
147944,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,MIKROPELAGICA,,,,Throndsen
150379,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,BALTICA,,,,Willén
150380,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,OVATA,,,,"Kent, 1880"
151239,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,MICROPELAGICA,,,,Throndsen
151240,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,MONOSIGA,,,MARINA,,,,Grøntved
118266,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,DESMARELLA,,,MONILIFORMIS,,,,Kent
118264,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,CODOSIGA,,,BOTRYTIS,,,,(Ehrenberg) Kent
1453,ANIMALIA,,CHOANOZOA,,,NOT_ASSIGNED_6336,,,,NOT_ASSIGNED_6337,,,,,,,,,,,,,,,
1449,ANIMALIA,,CHOANOZOA,,,MESOMYCETOZOEA,,,,AMOEBIDIALES,,,,,,,,,,,,,,,
1450,ANIMALIA,,CHOANOZOA,,,MESOMYCETOZOEA,,,,ECCRINALES,,,,,,,,,,,,,,,
1451,ANIMALIA,,CHOANOZOA,,,MESOMYCETOZOEA,,,,NOT_ASSIGNED_6339,,,,,,,,,,,,,,,
632,ANIMALIA,,TARDIGRADA,,,EUTARDIGRADA,,,,,,,,,,,,,,,,,,,"Richters, 1926"
635,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,,,,,,,,,,,,,,,,"Marcus, 1927"
638,ANIMALIA,,TARDIGRADA,,,MESOTARDIGRADA,,,,,,,,,,,,,,,,,,,
639,ANIMALIA,,TARDIGRADA,,,MESOTARDIGRADA,,,,THERMOZODIA,,,,,,,,,,,,,,,
636,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,ARTHROTARDIGRADA,,,,,,,,,,,,,,,"Marcus, 1927"
637,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,ECHINISCOIDEA,,,,,,,,,,,,,,,"Richters, 1926"
51909,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,ECHINISCOIDEA,,,,ECHINISCOIDIDAE,,,,,,,,,,,"Kristensen & Hallas, 1980"
137920,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,ECHINISCOIDEA,,,,ECHINISCIDAE,,,,,,,,,,,
142628,ANIMALIA,,TARDIGRADA,,,HETEROTARDIGRADA,,,,ECHINISCOIDEA,,,,ECHINISCIDAE,,,,BRYODELPHAX,,,,,,,"Thulin, 1928"
